Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,1,1,1,0.0
2015,1,1,2,0.0
2015,1,1,3,0.0
2015,1,1,4,0.0
2015,1,1,5,0.0
2015,1,1,6,0.0
2015,1,1,7,0.0
2015,1,1,8,0.0
2015,1,1,9,0.0
2015,1,1,10,0.0
2015,1,1,11,0.0
2015,1,1,12,0.0
2015,1,1,13,0.0011909642704252441
2015,1,1,14,0.010084991537456064
2015,1,1,15,0.02844242039197567
2015,1,1,16,0.06637806057674932
2015,1,1,17,0.11978523379149583
2015,1,1,18,0.13633421980607058
2015,1,1,19,0.11687983616031794
2015,1,1,20,0.09176809042778968
2015,1,1,21,0.06170931501516211
2015,1,1,22,0.01642446154909974
2015,1,1,23,9.525863242633272e-06
2015,1,1,24,0.0
2015,1,2,1,0.0
2015,1,2,2,0.0
2015,1,2,3,0.0
2015,1,2,4,0.0
2015,1,2,5,0.0
2015,1,2,6,0.0
2015,1,2,7,0.0
2015,1,2,8,0.0
2015,1,2,9,0.0
2015,1,2,10,0.0
2015,1,2,11,0.0
2015,1,2,12,0.0
2015,1,2,13,0.00026185215994366636
2015,1,2,14,0.017708682324334767
2015,1,2,15,0.05002802979550376
2015,1,2,16,0.12123059019257978
2015,1,2,17,0.172922918585148
2015,1,2,18,0.17754879566968476
2015,1,2,19,0.15524882482431313
2015,1,2,20,0.12401072106158902
2015,1,2,21,0.07186427542774922
2015,1,2,22,0.008062930673384627
2015,1,2,23,1.0692110579343987e-06
2015,1,2,24,0.0
2015,1,3,1,0.0
2015,1,3,2,0.0
2015,1,3,3,0.0
2015,1,3,4,0.0
2015,1,3,5,0.0
2015,1,3,6,0.0
2015,1,3,7,0.0
2015,1,3,8,0.0
2015,1,3,9,0.0
2015,1,3,10,0.0
2015,1,3,11,0.0
2015,1,3,12,0.0
2015,1,3,13,0.0006642954584808044
2015,1,3,14,0.040148445414787216
2015,1,3,15,0.09319969387058175
2015,1,3,16,0.1852258347677307
2015,1,3,17,0.24634475330926484
2015,1,3,18,0.24193222840436962
2015,1,3,19,0.20633322202034976
2015,1,3,20,0.17375844054059048
2015,1,3,21,0.12076803222604961
2015,1,3,22,0.030879755661002498
2015,1,3,23,3.50385597504622e-05
2015,1,3,24,0.0
2015,1,4,1,0.0
2015,1,4,2,0.0
2015,1,4,3,0.0
2015,1,4,4,0.0
2015,1,4,5,0.0
2015,1,4,6,0.0
2015,1,4,7,0.0
2015,1,4,8,0.0
2015,1,4,9,0.0
2015,1,4,10,0.0
2015,1,4,11,0.0
2015,1,4,12,0.0
2015,1,4,13,0.0007355783320171943
2015,1,4,14,0.01825874647471233
2015,1,4,15,0.04633978286054497
2015,1,4,16,0.16239798517444748
2015,1,4,17,0.20967657648546392
2015,1,4,18,0.18811942970199172
2015,1,4,19,0.15958422298219505
2015,1,4,20,0.13580890638100732
2015,1,4,21,0.07965835252492431
2015,1,4,22,0.017726389178773096
2015,1,4,23,3.283712966554906e-05
2015,1,4,24,0.0
2015,1,5,1,0.0
2015,1,5,2,0.0
2015,1,5,3,0.0
2015,1,5,4,0.0
2015,1,5,5,0.0
2015,1,5,6,0.0
2015,1,5,7,0.0
2015,1,5,8,0.0
2015,1,5,9,0.0
2015,1,5,10,0.0
2015,1,5,11,0.0
2015,1,5,12,0.0
2015,1,5,13,0.00010614403561523718
2015,1,5,14,0.0024803666734600455
2015,1,5,15,0.030648122264572086
2015,1,5,16,0.09543803209924079
2015,1,5,17,0.1325583425640802
2015,1,5,18,0.1387673674537507
2015,1,5,19,0.13040542918820722
2015,1,5,20,0.10965835944356465
