Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,1,1,1,0.5307021164867153
2015,1,1,2,0.5125412967672126
2015,1,1,3,0.4893319938576272
2015,1,1,4,0.4763090623709234
2015,1,1,5,0.4691620449726756
2015,1,1,6,0.4749701050876127
2015,1,1,7,0.4963452824328187
2015,1,1,8,0.515790534708303
2015,1,1,9,0.5233929133022185
2015,1,1,10,0.4947912310980044
2015,1,1,11,0.5205751596633578
2015,1,1,12,0.6078095898052547
2015,1,1,13,0.6294771598503333
2015,1,1,14,0.6299731188776496
2015,1,1,15,0.623175086979565
2015,1,1,16,0.6173576793491166
2015,1,1,17,0.6185115881265056
2015,1,1,18,0.6221790137868126
2015,1,1,19,0.6220340201350979
2015,1,1,20,0.6144690236057203
2015,1,1,21,0.603083195901111
2015,1,1,22,0.5743131469380569
2015,1,1,23,0.5510454575150902
2015,1,1,24,0.5479247860094656
2015,1,2,1,0.5350229653791473
2015,1,2,2,0.5038306967736369
2015,1,2,3,0.4593373065511385
2015,1,2,4,0.41816344675649947
2015,1,2,5,0.3867994954515119
2015,1,2,6,0.3603947508043919
2015,1,2,7,0.3500053576387925
2015,1,2,8,0.3577895166637605
2015,1,2,9,0.35800190382408875
2015,1,2,10,0.28235067407513614
2015,1,2,11,0.24424187243486092
2015,1,2,12,0.2747070073310847
2015,1,2,13,0.2626327452233362
2015,1,2,14,0.23651435837379844
2015,1,2,15,0.2174166592884653
2015,1,2,16,0.21258096148610917
2015,1,2,17,0.21877259999671153
2015,1,2,18,0.2245489690585042
2015,1,2,19,0.2272518963270966
2015,1,2,20,0.23016306141091133
2015,1,2,21,0.2354839615238294
2015,1,2,22,0.2448257071548166
2015,1,2,23,0.26935530131877516
2015,1,2,24,0.32440899979552923
2015,1,3,1,0.3422997060133482
2015,1,3,2,0.32511455430719816
2015,1,3,3,0.3023206595996844
2015,1,3,4,0.2773150100287217
2015,1,3,5,0.2561449183513054
2015,1,3,6,0.24099141792554607
2015,1,3,7,0.2369988952275685
2015,1,3,8,0.237176183188601
2015,1,3,9,0.2376533442919844
2015,1,3,10,0.19757918199344
2015,1,3,11,0.12612271152105922
2015,1,3,12,0.17744116938645815
2015,1,3,13,0.21577733998103416
2015,1,3,14,0.20514520740042008
2015,1,3,15,0.19079041066034028
2015,1,3,16,0.18091982984509533
2015,1,3,17,0.1771287808075421
2015,1,3,18,0.1774853693244573
2015,1,3,19,0.1831522532813349
2015,1,3,20,0.19657335985505225
2015,1,3,21,0.2149520559116732
2015,1,3,22,0.23414081291852326
2015,1,3,23,0.2716705889873382
2015,1,3,24,0.34680106610377087
2015,1,4,1,0.3762203028261887
2015,1,4,2,0.3609624729381638
2015,1,4,3,0.336320479323248
2015,1,4,4,0.30761780113371895
2015,1,4,5,0.27869330466280406
2015,1,4,6,0.252442435795599
2015,1,4,7,0.2309923700187042
2015,1,4,8,0.21401020719869507
2015,1,4,9,0.20119207526583605
2015,1,4,10,0.1470241484311358
2015,1,4,11,0.1076109451342452
2015,1,4,12,0.12139303160457311
2015,1,4,13,0.11970265252752721
2015,1,4,14,0.11923656096556978
2015,1,4,15,0.1267968997914052
2015,1,4,16,0.139792997788242
2015,1,4,17,0.15860008862771813
2015,1,4,18,0.17864025877217315
2015,1,4,19,0.1984414033519986
2015,1,4,20,0.22052044893499825
2015,1,4,21,0.2482874956563854
2015,1,4,22,0.28779108411870097
2015,1,4,23,0.37187792181086204
2015,1,4,24,0.5204763648114017
2015,1,5,1,0.5669578000187536
2015,1,5,2,0.5622019269816637
2015,1,5,3,0.5413847003020789
2015,1,5,4,0.5114522499213172
2015,1,5,5,0.4793395085339272
2015,1,5,6,0.4503172411571272
2015,1,5,7,0.42557433059769356
2015,1,5,8,0.40498455590175236
2015,1,5,9,0.38443492446282496
2015,1,5,10,0.29911149365209766
2015,1,5,11,0.2745057028279215
2015,1,5,12,0.3561118037403395
2015,1,5,13,0.36895060556754616
2015,1,5,14,0.34838372456439004
2015,1,5,15,0.3287341514496108
2015,1,5,16,0.32590351853121974
2015,1,5,17,0.3407176954327633
2015,1,5,18,0.364851776286351
2015,1,5,19,0.39126307105023544
2015,1,5,20,0.41929177257248845
2015,1,5,21,0.4476136077417095
2015,1,5,22,0.4775909387755713
2015,1,5,23,0.5515402214484646
2015,1,5,24,0.6243368373341053
2015,1,6,1,0.6302634927537627
2015,1,6,2,0.6167375832884039
2015,1,6,3,0.5939475236493015
2015,1,6,4,0.5727413393419581
2015,1,6,5,0.5526442343573865
2015,1,6,6,0.5424264450108298
2015,1,6,7,0.5419114406469091
2015,1,6,8,0.5342987718723832
2015,1,6,9,0.5227285618121853
2015,1,6,10,0.45541240240239983
2015,1,6,11,0.4043882724220495
2015,1,6,12,0.4721224044422271
2015,1,6,13,0.48850510519244844
2015,1,6,14,0.47027782745145297
2015,1,6,15,0.44488412283537343
2015,1,6,16,0.43182486802696296
2015,1,6,17,0.4219216506906251
2015,1,6,18,0.4139848871380729
2015,1,6,19,0.41287543048183567
2015,1,6,20,0.419868659674091
2015,1,6,21,0.4340831774197491
2015,1,6,22,0.4510046339862082
2015,1,6,23,0.5019288900748741
2015,1,6,24,0.5402627860592708
2015,1,7,1,0.5226473161664017
2015,1,7,2,0.4848449579574203
2015,1,7,3,0.448305062015439
2015,1,7,4,0.4287295657160611
2015,1,7,5,0.41881127799485485
2015,1,7,6,0.4139460775404738
2015,1,7,7,0.4088887321156233
2015,1,7,8,0.4023536198106419
2015,1,7,9,0.3930462084919027
2015,1,7,10,0.3409398543258624
2015,1,7,11,0.31443069596635553
2015,1,7,12,0.3511578749263726
2015,1,7,13,0.3461420430702808
2015,1,7,14,0.33198407320137996
2015,1,7,15,0.32119389852107466
2015,1,7,16,0.31360085367855056
2015,1,7,17,0.3091151366861177
2015,1,7,18,0.30826245181090733
2015,1,7,19,0.30757530540057615
2015,1,7,20,0.3088026627393992
2015,1,7,21,0.314646037872041
2015,1,7,22,0.3273563211295652
2015,1,7,23,0.3750490944596369
2015,1,7,24,0.4311665028249618
