Data used in Shaner et al (2018),,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand
2015,1,1,1,0.02169210916407172
2015,1,1,2,0.051451677653784826
2015,1,1,3,0.0749831416913079
2015,1,1,4,0.09922210886612895
2015,1,1,5,0.11431934142172415
2015,1,1,6,0.1225669849020098
2015,1,1,7,0.10779634430253048
2015,1,1,8,0.08745490814770591
2015,1,1,9,0.06678132188740084
2015,1,1,10,0.03792512008073295
2015,1,1,11,0.021069686984118253
2015,1,1,12,0.005408104359037351
2015,1,1,13,0.0003832542576214892
2015,1,1,14,0.0
2015,1,1,15,0.0
2015,1,1,16,0.0
2015,1,1,17,0.0
2015,1,1,18,0.0
2015,1,1,19,0.0
2015,1,1,20,0.0
2015,1,1,21,0.0
2015,1,1,22,0.0
2015,1,1,23,0.0003661540326256916
2015,1,1,24,0.00261575058602077
2015,1,2,1,0.024295391260747336
2015,1,2,2,0.051878278462350054
2015,1,2,3,0.07458077461659676
2015,1,2,4,0.0900171367067907
2015,1,2,5,0.10726185507873873
2015,1,2,6,0.1184599925147954
2015,1,2,7,0.10676133102963331
2015,1,2,8,0.08103911445097549
2015,1,2,9,0.05319094904634381
2015,1,2,10,0.034320047956068606
2015,1,2,11,0.017457774278148628
2015,1,2,12,0.0035255949294040853
2015,1,2,13,0.00014937444690595994
2015,1,2,14,0.0
2015,1,2,15,0.0
2015,1,2,16,0.0
2015,1,2,17,0.0
2015,1,2,18,0.0
2015,1,2,19,0.0
2015,1,2,20,0.0
2015,1,2,21,0.0
2015,1,2,22,0.0
2015,1,2,23,0.00016362809299255915
2015,1,2,24,0.0020444963230101237
2015,1,3,1,0.024166045727967975
2015,1,3,2,0.054169651431542926
2015,1,3,3,0.07215880892158452
2015,1,3,4,0.08662851054188649
2015,1,3,5,0.10750085531244463
2015,1,3,6,0.11657555411138436
2015,1,3,7,0.09422238343090028
2015,1,3,8,0.06844642896499754
2015,1,3,9,0.0481433051681152
2015,1,3,10,0.029951049431979317
2015,1,3,11,0.012509187108864808
2015,1,3,12,0.0032545138731117002
2015,1,3,13,0.00022740873722000899
2015,1,3,14,0.0
2015,1,3,15,0.0
2015,1,3,16,0.0
2015,1,3,17,0.0
2015,1,3,18,0.0
2015,1,3,19,0.0
2015,1,3,20,0.0
2015,1,3,21,0.0
2015,1,3,22,0.0
2015,1,3,23,0.0005763831538111193
2015,1,3,24,0.0039020852612581306
2015,1,4,1,0.022084756029769573
2015,1,4,2,0.039738632514908126
2015,1,4,3,0.05853247339769026
2015,1,4,4,0.08976624885510907
2015,1,4,5,0.1109155322904693
2015,1,4,6,0.10833767782458147
2015,1,4,7,0.09985810057396302
2015,1,4,8,0.09167084388899606
2015,1,4,9,0.06729581117813198
2015,1,4,10,0.04173668214293009
2015,1,4,11,0.01881432935992193
2015,1,4,12,0.0049000843597420485
2015,1,4,13,0.0003075262240151473
2015,1,4,14,0.0
2015,1,4,15,0.0
2015,1,4,16,0.0
2015,1,4,17,0.0
2015,1,4,18,0.0
2015,1,4,19,0.0
2015,1,4,20,0.0
2015,1,4,21,0.0
2015,1,4,22,0.0
2015,1,4,23,0.00012774719055321432
2015,1,4,24,0.0023316070288403206
2015,1,5,1,0.015668895657408716
2015,1,5,2,0.038897970667501704
2015,1,5,3,0.06845377665471641
2015,1,5,4,0.09646164751053037
2015,1,5,5,0.10825836136089992
2015,1,5,6,0.11214084265768015
2015,1,5,7,0.11149196192920303
2015,1,5,8,0.09767791385764397
2015,1,5,9,0.07731645346176193
2015,1,5,10,0.03728559890154462
2015,1,5,11,0.018756019296840384
2015,1,5,12,0.004896259850373473
2015,1,5,13,0.00022116083822743834
2015,1,5,14,0.0
2015,1,5,15,0.0
2015,1,5,16,0.0
2015,1,5,17,0.0
2015,1,5,18,0.0
2015,1,5,19,0.0
2015,1,5,20,0.0
2015,1,5,21,0.0
2015,1,5,22,0.0
2015,1,5,23,0.0003207632376445205
2015,1,5,24,0.0014603976661493726
2015,1,6,1,0.00601078373534107
2015,1,6,2,0.036460582509773624
2015,1,6,3,0.06739924349486034
2015,1,6,4,0.07748889511124867
2015,1,6,5,0.08764446662683935
2015,1,6,6,0.09922777029918169
2015,1,6,7,0.09746473728103588
2015,1,6,8,0.07163517091251867
2015,1,6,9,0.05120116916570922
2015,1,6,10,0.034717668305454606
2015,1,6,11,0.02163275671227939
2015,1,6,12,0.010459082792716633
2015,1,6,13,0.0009505153656542382
2015,1,6,14,0.0
2015,1,6,15,0.0
2015,1,6,16,0.0
2015,1,6,17,0.0
2015,1,6,18,0.0
2015,1,6,19,0.0
2015,1,6,20,0.0
2015,1,6,21,0.0
